,Month,Day,DayofWeek,Hour,Minute,SiteOutdoorAirDrybulbTemperature,SiteOutdoorAirRelativeHumidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal,aspect_ratio,building_rotation,epd,floor_area,floor_area_to_perim_ratio,floor_height,hours_of_operation_duration,hours_of_operation_start_time,lpd,number_of_stories,number_of_stories_below_grade,overall_wwr,people_average,openstudio_results.eui,openstudio_results.total_site_eui,openstudio_results.unmet_hours_during_occupied_cooling,openstudio_results.unmet_hours_during_occupied_heating
count,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0,1445400.0
mean,6.526027397260274,15.72054794520548,2.9918949771689496,11.5,0.0,14.12748170392352,66.45422406392692,4113768.1807224476,7439064.630969631,73033624.22020052,463609026.40604675,18091533.53716433,11552832.811692076,2.4940275625175885,91.50454946261996,8.072932812532306,45892.05637789045,7.848469034380497,12.0,11.289475481879304,8.024612453984775,52.42265369872442,3.8545454545454545,0.0,0.5135860848518483,0.2778663030833554,87.82500903365596,87.82500903365596,602.3183636363636,194.89569696969698
std,3.4478525147505548,8.796250046173338,2.0032635720057383,6.922188946990379,0.0,10.109149986358403,20.94320767834943,26672524.69903831,44710212.87115603,127403000.98502536,468459978.1687164,45461818.79326118,51479953.20168575,0.8485098163320403,50.43021718367918,1.5987217084981337e-14,15789.401305757148,2.273139565313834,0.0,2.9516111665661944,1.1838939903132208,26.195764156868567,1.3584958294709706,0.0,0.16991014382437905,0.14488720862045068,32.13193204113603,32.13193204113603,194.56458240791144,109.32578784872999
min,1.0,1.0,0.0,0.0,0.0,-13.9,13.5833,0.0,0.0,0.0,19177800.0,0.0,0.0,1.0171217776602135,0.9126732967793942,8.07293281253229,20438.682079008624,4.0147185568974635,12.0,6.052019815014986,6.004739522260302,4.9753935536058,2.0,0.0,0.20217573906155306,0.0278706412156209,32.354065894443025,32.354065894443025,100.0,7.17
25%,4.0,8.0,1.0,5.75,0.0,6.26667,49.5,0.0,0.0,27498.575000000004,144087000.0,6190295.0,0.0,1.7527186784241349,50.27126414920203,8.07293281253229,31826.218334104247,6.097623591289043,12.0,9.012546653090977,6.969907207308958,31.233148258832397,3.0,0.0,0.3708571073017083,0.15045662204707,60.67203631987999,60.67203631987999,468.67,113.33
50%,7.0,16.0,3.0,11.5,0.0,14.1083,67.0833,0.0,0.0,12160850.0,284462000.0,10382350.0,0.0,2.471005326991435,94.53616827009245,8.07293281253229,45417.29301115654,7.493246779366737,12.0,11.513948222901671,7.9947039428632705,52.4746018850418,4.0,0.0,0.5276114154881798,0.277893236948252,85.11294603728074,85.11294603728074,601.67,178.33
75%,10.0,23.0,5.0,17.25,0.0,22.45,84.93752500000001,0.0,0.0,93541900.0,608714750.0,16960500.0,740483.5,3.2396803342294884,131.09370746808122,8.07293281253229,59776.27035165983,9.28990513960507,12.0,13.903929449462641,9.054190517552195,75.9201825271501,5.0,0.0,0.6582387448507362,0.395856552515293,111.89671641426192,111.89671641426192,725.0,247.33
max,12.0,31.0,6.0,23.0,0.0,36.6,100.0,1258240000.0,1705670000.0,1170520000.0,3270040000.0,1721370000.0,1705670000.0,3.980557124104816,179.5375853082631,8.07293281253229,74790.45070705857,14.279984122438725,12.0,15.971847120750075,9.978340666312725,96.8689734097468,6.0,0.0,0.7943780480292626,0.5376631819407921,164.22624324644477,164.22624324644477,1197.17,605.67
