name,model_type,downsample,slope,intercept,mae,r_value,r_squared,spearman,pearson,time_to_build,time_to_cv,n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split
ElectricityFacility,base,0.05,0.9718424445556406,13665687.60605979,35143221.84385151,0.9906793335698916,0.9814455419624845,0.9841709904279862,0.9906793335698918,5.402853965759277,0,20,,auto,1,1
ElectricityFacility,best,0.05,0.9712966938086491,13627630.482822597,34871153.740603246,0.9911770383218569,0.9824319212964877,0.9845525228355169,0.9911770383218568,5.402853965759277,262.5353648662567,20,,auto,1,1
GasFacility,base,0.05,0.6353101710201048,7412022.547687143,6798066.964666237,0.7947943172755214,0.6316980067734622,0.8993092245624429,0.7947943172755214,5.694582939147949,0,20,,auto,1,1
GasFacility,best,0.05,0.632259564328911,7530351.0596412625,6812980.558355746,0.7843969380264133,0.6152785563852129,0.8955859726138605,0.7843969380264132,5.694582939147949,259.3129699230194,20,,auto,1,1
