,downsample,regressor__max_depth,response,regressor__max_features,regressor__min_samples_leaf,regressor__min_samples_split,regressor__n_estimators,mean_train_score,mean_test_score,mean_fit_time,mean_score_time,rank_test_score
0,0.05,,GasFacility,0.5,1,3,50,0.9203463402702982,0.5533843023923601,10.2977827390035,0.45415536562601727,15
1,0.05,,GasFacility,0.5,1,3,100,0.9236371603446781,0.5556954341146934,22.005372365315754,0.756973663965861,12
2,0.05,,GasFacility,0.5,1,5,50,0.88334837365185,0.5502507659184867,10.330595095952352,0.35977673530578613,16
3,0.05,,GasFacility,0.5,1,5,100,0.8881807196862203,0.5620590701714229,21.693909247716267,0.6730171044667562,6
4,0.05,,GasFacility,0.5,2,3,50,0.8670769310388411,0.5538165289926541,10.816329797108969,0.3794094721476237,14
5,0.05,,GasFacility,0.5,2,3,100,0.8723637509349224,0.559768135729962,21.256325403849285,0.6565690835316976,9
6,0.05,,GasFacility,0.5,2,5,50,0.8525548004146013,0.5554275971011311,10.311970313390097,0.3328424294789632,13
7,0.05,,GasFacility,0.5,2,5,100,0.8558765965558764,0.5596774596997521,20.62161668141683,0.6490490436553955,10
8,0.05,,GasFacility,0.75,1,3,50,0.9262772913116536,0.56164804694727,16.986082394917805,0.40569090843200684,7
9,0.05,,GasFacility,0.75,1,3,100,0.9285437704157465,0.5646327484178195,34.64605943361918,0.7483109633127848,4
10,0.05,,GasFacility,0.75,1,5,50,0.8954163089736141,0.5585640786027959,16.2618723710378,0.3572363058725993,11
11,0.05,,GasFacility,0.75,1,5,100,0.8969828467013938,0.5669938025106974,31.799934069315594,0.6683816115061442,2
12,0.05,,GasFacility,0.75,2,3,50,0.8849457225778542,0.5628758095088603,15.690932671229044,0.3700379530588786,5
13,0.05,,GasFacility,0.75,2,3,100,0.8850397097048535,0.5606395610114486,30.63617221514384,0.6911110877990723,8
14,0.05,,GasFacility,0.75,2,5,50,0.8712086892936104,0.5660481184903393,14.91976801554362,0.34899155298868817,3
