name,model_type,downsample,slope,intercept,mae,r_value,r_squared,spearman,pearson,time_to_build,time_to_cv,n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split,model_method
ElectricityFacility,base,0.05,0.9718424445556406,13665687.60605979,35143221.84385151,0.9906793335698916,0.9814455419624843,0.9841709904279862,0.9906793335698918,5.402853965759277,0.0,20,,auto,1,1,RandomForest
ElectricityFacility,best,0.05,0.9712966938086492,13627630.482822595,34871153.74060325,0.9911770383218568,0.9824319212964876,0.9845525228355168,0.9911770383218568,5.402853965759277,262.53536486625666,20,,auto,1,1,RandomForest
GasFacility,base,0.05,0.6353101710201048,7412022.547687142,6798066.964666237,0.7947943172755214,0.6316980067734622,0.8993092245624429,0.7947943172755214,5.694582939147949,0.0,20,,auto,1,1,RandomForest
GasFacility,best,0.05,0.6322595643289111,7530351.0596412625,6812980.558355746,0.7843969380264133,0.6152785563852129,0.8955859726138605,0.7843969380264132,5.694582939147949,259.3129699230194,20,,auto,1,1,RandomForest
