response,model_type,downsample,load_time,disk_size,run_time_single,run_time_8760
ElectricityFacility,RandomForest,0.05,0.09635496139526367,80538661,0.010684013366699219,0.0381770133972168
GasFacility,RandomForest,0.05,0.07827496528625488,74548517,0.009806156158447266,0.03664278984069824
